Unnamed: 0,ListingKeyNumeric *,OriginatingSystemKey,ListingID,Geography,MLSAreaMajor,SubdivisionName,ElementarySchool,MiddleOrJuniorSchool,HighSchool,ClosePrice,LotSizeAcres,BuildingAreaTotal,YearBuilt,BasementYN,BathroomsTotalInteger,BathroomsFull,BathroomsHalf,WaterfrontYN,WaterfrontFeatures,PoolPrivateYN,GarageYN,AttachedGarageYN,CarportYN,GarageSpaces,FireplaceYN,FireplacesTotal,LivingArea,Stories,BedroomsTotal,CloseDate,Close_Year,Close_Month,ElemRating,MidRating
2772,529583699,10218491,145046,Northport City,(06) Northport City,Briarcliff,Crestmont,Echols,Tuscaloosa County,205000,0,1836,1976,0,2,2,0,0,,0,1,1,0,0,1,0,1836,1,3,8/27/2021,2021,8,5,5
2773,529588637,10218137,145037,Northport City,(08) North Tuscaloosa County,Grand Pointe,Huntington,Echols,Tuscaloosa County,365000,0,2354,2010,0,3,3,0,0,,0,1,1,0,0,1,0,2354,1,4,8/19/2021,2021,8,6,5
2775,530028726,10219987,145088,Midtown,(02) Central Tuscaloosa City,Southern Gardens,Alberta,Northridge,Northridge,154000,0,1203,1993,0,2,2,0,0,,0,1,1,0,0,1,0,1203,1,2,7/30/2021,2021,7,5,6
2776,530085698,10219599,145069,Northport City,(06) Northport City,Deer Field,Flatwoods,Collins Riverside,Tuscaloosa County,112000,0,1092,1979,0,1,1,0,0,,0,1,1,0,1,0,0,1092,1,3,8/30/2021,2021,8,4,3
2777,530177237,10221215,145131,Northport City,(08) North Tuscaloosa County,Grand Pointe,Huntington,Echols,Tuscaloosa County,340000,0,2374,2010,0,2,2,0,0,,0,1,0,0,2,1,0,2374,0,4,8/23/2021,2021,8,6,5
2779,530457609,10223695,145214,Northport City,(06) Northport City,Clements Hills,Crestmont,Echols,Tuscaloosa County,148000,0.32,1556,1950,0,2,2,0,0,,0,1,0,1,1,1,0,1556,1,2,8/16/2021,2021,8,5,5
2780,530838647,10224840,145246,South Tuscaloosa,(11) South Tuscaloosa County,Mallard Creek,Englewood,Hillcrest Jr,Hillcrest,310000,0,2725,1989,0,3,3,0,0,,0,1,1,0,0,1,1,2725,1,4,9/30/2021,2021,9,6,5
2781,531515010,10219100,145059,East Tuscaloosa,(03) East Tuscaloosa City,Williamsburg,Woodland Forest,Eastwood,Bryant,218000,0,1679,2008,0,2,2,0,0,,0,0,0,0,0,1,1,1679,1,3,8/31/2021,2021,8,3,4
2782,536854649,10223145,145200,North of River,(08) North Tuscaloosa County,,Walker,Northside,Northside,779000,0,4247,2009,1,4,3.5,0.5,1,"Lake,LakePrivileges",0,0,0,0,0,1,2,4247,2,4,9/10/2021,2021,9,7,6
2783,536873318,10242129,145460,South Tuscaloosa,(11) South Tuscaloosa County,Dogwood Trail,Englewood,Hillcrest Jr,Hillcrest,250000,0,2034,1985,0,2,2,0,0,,0,0,0,0,0,1,0,2034,1,4,8/30/2021,2021,8,6,5
2784,538477570,10249257,145686,Northport PJ,(06) Northport City,Trestle Square,Flatwoods,Collins Riverside,Tuscaloosa County,289395,0,2511,2021,0,3,3,0,0,,0,1,1,0,2,0,0,2511,2,5,12/23/2021,2021,12,4,3
2785,538519190,10249588,145706,Northport City,(06) Northport City,Leland,Vestavia,Collins Riverside,Tuscaloosa County,230000,0.51,2316,1960,1,2,2,0,0,,0,1,0,1,1,1,1,2316,0,3,10/1/2021,2021,10,7,3
2788,539238282,10251975,145794,Northport PJ,(06) Northport City,Pinedale,Flatwoods,Collins Riverside,Tuscaloosa County,178000,0.69,1422,1962,1,2,2,0,0,,0,1,0,1,1,0,0,1422,1,3,9/30/2021,2021,9,4,3
